game_line,origin_type,stop_order,station_id,station_name
경부선,KTX,1,S087,행신
경부선,KTX,2,S043,서울
경부선,KTX,3,S058,영등포
경부선,KTX,4,S009,광명
경부선,KTX,5,S048,수원
경부선,KTX,6,S078,천안아산
경부선,KTX,7,S061,오송
경부선,KTX,8,S021,대전
경부선,KTX,9,S015,김천(구미)
경부선,KTX,10,S041,서대구
경부선,KTX,11,S023,동대구
경부선,KTX,12,S005,경주
경부선,KTX,13,S063,울산
경부선,KTX,14,S004,경산
경부선,KTX,15,S033,밀양
경부선,KTX,16,S032,물금
경부선,KTX,17,S012,구포
경부선,KTX,18,S035,부산
경부선,SRT,1,S046,수서
경부선,SRT,2,S024,동탄
경부선,SRT,3,S084,평택지제
경부선,SRT,4,S078,천안아산
경부선,SRT,5,S061,오송
경부선,SRT,6,S021,대전
경부선,SRT,7,S015,김천(구미)
경부선,SRT,8,S041,서대구
경부선,SRT,9,S023,동대구
경부선,SRT,10,S005,경주
경부선,SRT,11,S063,울산
경부선,SRT,12,S033,밀양
경부선,SRT,13,S032,물금
경부선,SRT,14,S012,구포
경부선,SRT,15,S035,부산
호남선,KTX,1,S087,행신
호남선,KTX,2,S043,서울
호남선,KTX,3,S062,용산
호남선,KTX,4,S058,영등포
호남선,KTX,5,S009,광명
호남선,KTX,6,S078,천안아산
호남선,KTX,7,S061,오송
호남선,KTX,8,S008,공주
호남선,KTX,9,S042,서대전
호남선,KTX,10,S006,계룡
호남선,KTX,11,S019,논산
호남선,KTX,12,S067,익산
호남선,KTX,13,S014,김제
호남선,KTX,14,S071,정읍
호남선,KTX,15,S068,장성
호남선,KTX,16,S010,광주송정
호남선,KTX,17,S016,나주
호남선,KTX,18,S029,목포
호남선,SRT,1,S046,수서
호남선,SRT,2,S024,동탄
호남선,SRT,3,S084,평택지제
호남선,SRT,4,S078,천안아산
호남선,SRT,5,S061,오송
호남선,SRT,6,S008,공주
호남선,SRT,7,S042,서대전
호남선,SRT,8,S006,계룡
호남선,SRT,9,S019,논산
호남선,SRT,10,S067,익산
호남선,SRT,11,S071,정읍
호남선,SRT,12,S010,광주송정
호남선,SRT,13,S016,나주
호남선,SRT,14,S029,목포
전라선,KTX,1,S087,행신
전라선,KTX,2,S043,서울
전라선,KTX,3,S062,용산
전라선,KTX,4,S058,영등포
전라선,KTX,5,S009,광명
전라선,KTX,6,S078,천안아산
전라선,KTX,7,S061,오송
전라선,KTX,8,S008,공주
전라선,KTX,9,S042,서대전
전라선,KTX,10,S006,계룡
전라선,KTX,11,S019,논산
전라선,KTX,12,S067,익산
전라선,KTX,13,S069,전주
전라선,KTX,14,S017,남원
전라선,KTX,15,S007,곡성
전라선,KTX,16,S011,구례구
전라선,KTX,17,S049,순천
전라선,KTX,18,S055,여천
전라선,KTX,19,S054,여수엑스포
전라선,SRT,1,S046,수서
전라선,SRT,2,S024,동탄
전라선,SRT,3,S084,평택지제
전라선,SRT,4,S078,천안아산
전라선,SRT,5,S061,오송
전라선,SRT,6,S008,공주
전라선,SRT,7,S067,익산
전라선,SRT,8,S069,전주
전라선,SRT,9,S017,남원
전라선,SRT,10,S007,곡성
전라선,SRT,11,S011,구례구
전라선,SRT,12,S049,순천
전라선,SRT,13,S055,여천
전라선,SRT,14,S054,여수엑스포
강릉선,KTX,1,S087,행신
강릉선,KTX,2,S043,서울
강릉선,KTX,3,S079,청량리
강릉선,KTX,4,S040,상봉
강릉선,KTX,5,S022,덕소
강릉선,KTX,6,S053,양평
강릉선,KTX,7,S044,서원주
강릉선,KTX,8,S028,만종
