pattern_id,stop_order,station_id
P01,1,S087
P01,2,S043
P01,3,S009
P01,4,S078
P01,5,S061
P01,6,S021
P01,7,S015
P01,8,S041
P01,9,S023
P01,10,S005
P01,11,S063
P01,12,S035
P02,1,S087
P02,2,S043
P02,3,S009
P02,4,S078
P02,5,S061
P02,6,S021
P02,7,S015
P02,8,S041
P02,9,S023
P02,10,S004
P02,11,S033
P02,12,S032
P02,13,S012
P02,14,S035
P03,1,S087
P03,2,S043
P03,3,S058
P03,4,S048
P03,5,S021
P03,6,S015
P03,7,S023
P03,8,S005
P03,9,S063
P03,10,S035
P04,1,S087
P04,2,S043
P04,3,S009
P04,4,S078
P04,5,S061
P04,6,S021
P04,7,S015
P04,8,S041
P04,9,S023
P04,10,S004
P04,11,S033
P04,12,S074
P04,13,S077
P04,14,S076
P04,15,S027
P04,16,S075
P05,1,S087
P05,2,S043
P05,3,S009
P05,4,S078
P05,5,S061
P05,6,S021
P05,7,S015
P05,8,S041
P05,9,S023
P05,10,S085
P06,1,S046
P06,2,S024
P06,3,S084
P06,4,S078
P06,5,S061
P06,6,S021
P06,7,S015
P06,8,S041
P06,9,S023
P06,10,S005
P06,11,S063
P06,12,S035
P07,1,S046
P07,2,S024
P07,3,S084
P07,4,S078
P07,5,S061
P07,6,S021
P07,7,S015
P07,8,S041
P07,9,S023
P07,10,S033
P07,11,S032
P07,12,S012
P07,13,S035
P08,1,S046
P08,2,S024
P08,3,S084
P08,4,S078
P08,5,S061
P08,6,S021
P08,7,S015
P08,8,S041
P08,9,S023
P08,10,S033
P08,11,S074
P08,12,S077
P08,13,S076
P08,14,S027
P08,15,S075
P09,1,S046
P09,2,S024
P09,3,S084
P09,4,S078
P09,5,S061
P09,6,S021
P09,7,S015
P09,8,S023
P09,9,S085
P10,1,S087
P10,2,S043
P10,3,S062
P10,4,S058
P10,5,S009
P10,6,S078
P10,7,S061
P10,8,S008
P10,9,S067
P10,10,S071
P10,11,S010
P10,12,S016
P10,13,S029
P11,1,S087
P11,2,S043
P11,3,S062
P11,4,S009
P11,5,S078
P11,6,S061
P11,7,S042
P11,8,S006
P11,9,S019
P11,10,S067
P11,11,S071
P11,12,S010
P11,13,S016
P11,14,S029
P12,1,S087
P12,2,S043
P12,3,S062
P12,4,S009
P12,5,S078
P12,6,S061
P12,7,S008
P12,8,S067
P12,9,S014
P12,10,S071
P12,11,S068
P12,12,S010
P12,13,S016
P12,14,S029
P13,1,S087
P13,2,S043
P13,3,S062
P13,4,S058
P13,5,S009
P13,6,S078
P13,7,S061
P13,8,S008
P13,9,S067
P13,10,S069
P13,11,S017
P13,12,S007
P13,13,S011
P13,14,S049
P13,15,S055
P13,16,S054
P14,1,S087
P14,2,S043
P14,3,S062
P14,4,S009
P14,5,S078
P14,6,S061
P14,7,S042
P14,8,S006
P14,9,S019
P14,10,S067
P14,11,S069
P14,12,S017
P14,13,S007
P14,14,S011
P14,15,S049
P14,16,S055
P14,17,S054
P15,1,S046
P15,2,S024
P15,3,S084
P15,4,S078
P15,5,S061
P15,6,S008
P15,7,S067
P15,8,S071
P15,9,S010
P15,10,S016
P15,11,S029
P16,1,S046
P16,2,S024
P16,3,S084
P16,4,S078
P16,5,S061
P16,6,S042
P16,7,S006
P16,8,S019
P16,9,S067
P16,10,S071
P16,11,S010
P17,1,S046
P17,2,S024
P17,3,S084
P17,4,S078
P17,5,S061
P17,6,S008
P17,7,S067
P17,8,S069
P17,9,S017
P17,10,S007
P17,11,S011
P17,12,S049
P17,13,S055
P17,14,S054
P18,1,S087
P18,2,S043
P18,3,S079
P18,4,S040
P18,5,S022
P18,6,S053
P18,7,S044
P18,8,S028
P18,9,S088
P18,10,S026
P18,11,S083
P18,12,S073
P18,13,S003
P19,1,S087
P19,2,S043
P19,3,S079
P19,4,S040
P19,5,S022
P19,6,S053
P19,7,S044
P19,8,S028
P19,9,S088
P19,10,S026
P19,11,S083
P19,12,S073
P19,13,S003
P19,14,S070
P19,15,S030
P19,16,S025
P20,1,S043
P20,2,S079
P20,3,S040
P20,4,S022
P20,5,S053
P20,6,S044
P20,7,S065
P20,8,S072
P20,9,S020
P20,10,S086
P20,11,S059
P20,12,S051
P20,13,S066
P20,14,S060
P20,15,S005
P20,16,S037
P20,17,S081
P20,18,S018
P20,19,S013
P20,20,S050
P20,21,S045
P20,22,S036
P21,1,S082
P21,2,S034
P21,3,S001
P21,4,S002
P21,5,S052
P21,6,S080
P21,7,S038
P21,8,S047
P21,9,S056
P21,10,S031
P22,1,S036
P22,2,S081
P22,3,S005
P22,4,S085
P22,5,S057
P22,6,S064
P22,7,S039
P22,8,S025
P22,9,S030
P22,10,S070
P22,11,S003
