pattern_id,group_name,route_family,pattern_name,route_text,train_type
P01,경부선(서울) 계통,경부,경부고속선,행신-서울--부산,KTX
P02,경부선(서울) 계통,경부-구포,경부선(구포 경유),행신-서울--구포-부산,KTX
P03,경부선(서울) 계통,경부-수원,경부선(수원 경유),행신-서울-수원--부산,KTX
P04,경부선(서울) 계통,경전,경전선,행신-서울--동대구-진주,KTX
P05,경부선(서울) 계통,동해-포항,동해선(포항),행신-서울--동대구-포항,KTX
P06,경부선(수서) 계통,경부,경부고속선,수서--부산,KTX
P07,경부선(수서) 계통,경부-구포,경부선(구포 경유),수서--구포-부산,KTX
P08,경부선(수서) 계통,경전,경전선,수서--동대구-진주,KTX
P09,경부선(수서) 계통,동해-포항,동해선(포항),수서-동대구-포항,KTX
P10,호남선(용산) 계통,호남,호남고속선,행신-용산--목포,KTX
P11,호남선(용산) 계통,호남-서대전,호남선(서대전 경유),행신-용산-서대전-목포,KTX
P12,호남선(용산) 계통,호남-김제장성,호남선(김제·장성 경유),행신-용산--익산-김제-목포,KTX
P13,호남선(용산) 계통,전라,전라선,행신-용산--익산-여수엑스포,KTX
P14,호남선(용산) 계통,전라-서대전,전라선(서대전 경유),행신-용산-서대전-익산-여수엑스포,KTX
P15,호남선(수서) 계통,호남,호남고속선,수서--목포,KTX
P16,호남선(수서) 계통,호남-서대전,호남선(서대전 경유),수서-서대전-목포,KTX
P17,호남선(수서) 계통,전라,전라선,수서-익산-여수엑스포,KTX
P18,준고속철도,강릉,강릉선,행신-서울--강릉,KTX
P19,준고속철도,강릉-동해,강릉선(동해행),행신-서울--동해,KTX
P20,준고속철도,중앙,중앙선,서울--부전,KTX
P21,준고속철도,중부내륙,중부내륙선,판교-문경,KTX
P22,준고속철도,동해-부전,동해선(부전),부전-강릉,KTX
