station_id,station_name,address
S001,가남,경기도 여주시 가남읍 태평리 514
S002,감곡장호원,충북 음성군 감곡면 왕장리 312-2
S003,강릉,강원도 강릉시 용지로 176
S004,경산,경북 경산시 중앙로 1
S005,경주,경북 경주시 건천읍 경주역로 80
S006,계룡,충남 계룡시 두마면 팥거리로 95
S007,곡성,전남 곡성군 곡성로 920
S008,공주,충남 공주시 이인면 새빛로 100
S009,광명,경기도 광명시 광명역로 21
S010,광주송정,광주 광산구 상무대로 201
S011,구례구,전남 순천시 황전면 섬진강로 217
S012,구포,부산 북구 구포만세길 82
S013,기장,부산 기장군 기장읍 차성로288번길 86
S014,김제,전북 김제시 두월로 198
S015,김천(구미),경북 김천시 남면 혁신 1로 51
S016,나주,전남 나주시 송월동 262-2
S017,남원,전북 남원시 교룡로 71
S018,남창,울산 울주군 온양읍 남창역길 40
S019,논산,충남 논산시 해월로 236-13
S020,단양,충북 단양군 단양읍 단양로 896
S021,대전,대전 동구 중앙로 215
S022,덕소,경기도 남양주시 와부읍 덕소리 56
S023,동대구,대구 동구 동대구로 550
S024,동탄,
S025,동해,강원 동해시 동해역길 69
S026,둔내,강원도 횡성군 둔내면 고원로 116
S027,마산,경남 창원시 마산회원구 마산역광장로 18
S028,만종,강원도 원주시 호저면 운동들2길 21-33
S029,목포,전남 목포시 호남동 1-1
S030,묵호,강원 동해시 해안로 520
S031,문경,경북 문경시 문경읍 오서길 7
S032,물금,경남 양산시 물금읍 황산로 347
S033,밀양,경남 밀양시 중앙로 62
S034,부발,경기도 이천시 부발읍 신아로 87
S035,부산,부산시 동구 중앙대로 206
S036,부전,부산 부산진구 부전로 181
S037,북울산,울산 북구 오토밸리로 620
S038,살미,충북 충주시 살미면 중원대로 2437
S039,삼척,강원도 삼척시 중앙로 13
S040,상봉,서울시 중랑구 망우로 297
S041,서대구,대구시 서구 와룡로 527
S042,서대전,대전 중구 오류로 23
S043,서울,서울특별시 용산구 한강대로 405
S044,서원주,강원도 원주시 지정면 지정로 145
S045,센텀,부산 해운대구 해운대로 210
S046,수서,
S047,수안보온천,충북 충주시 수안보면 수안보로 88
S048,수원,경기도 수원시 팔달구 덕영대로 924
S049,순천,전남 순천시 팔마로 135
S050,신해운대,부산 해운대구 장산로 427
S051,안동,경북 안동시 송현동 648
S052,앙성온천,충북 충주시 앙성면 돈산리 317
S053,양평,경기도 양평군 양평읍 역전길 30
S054,여수엑스포,전남 여수시 망양로 2
S055,여천,전남 여수시 시청로 200
S056,연풍,충북 괴산군 연풍면 원풍로 250
S057,영덕,경북 영덕군 영덕읍 중앙길 29
S058,영등포,서울특별시 영등포구 경인로 846
S059,영주,경북 영주시 선비로 64
S060,영천,경북 영천시 금완로 98
S061,오송,충북 청주시 흥덕구 오송읍 오송가락로 123
S062,용산,서울특별시 용산구 한강대로 23길 55
S063,울산,울산 울주군 삼남면 울산역로 177
S064,울진,경북 울진군 울진읍 울진북로
S065,원주,강원도 원주시 북원로 1860
S066,의성,경북 의성군 의성읍 문소3길 89-8
S067,익산,전북 익산시 익산대로 153
S068,장성,전남 장성군 장성읍 영천리 1273-5
S069,전주,전북 전주시 덕진구 동부대로 680
S070,정동진,강원도 강릉시 강동면 정동역길17
S071,정읍,전북 정읍시 서부산업도로 305
S072,제천,충북 제천시 의림대로1
S073,진부(오대산),강원도 평창군 진부면 송정길 120
S074,진영,경남 김해시 진영읍 김해대로 809
S075,진주,경남 진주시 개양로 116번길 33
S076,창원,경남 창원시 의창구 의창대로 67
S077,창원중앙,경남 창원시 의창구 상남로 381
S078,천안아산,충남 아산시 배방읍 희망로 100
S079,청량리,서울시 동대문구 왕산로-214
S080,충주,충북 충주시 충원대로 539
S081,태화강,울산 남구 산업로 654
S082,판교,경기도 성남시 분당구 판교역로 160
S083,평창,강원도 평창군 용평면 평창대로 1715
S084,평택지제,
S085,포항,경북 포항시 흥해읍 포항역로1
S086,풍기,경북 영주시 풍기읍 인삼로 1
S087,행신,경기도 고양시 덕양구 소원로 102
S088,횡성,강원도 횡성군 횡성읍 덕고로 591
