pattern_id,stop_order,station_id
IS01,1,S077
IS01,2,S111
IS01,3,S102
IS01,4,S086
IS01,5,S121
IS01,6,S079
IS01,7,S185
IS01,8,S083
IS01,9,S171
IS01,10,S159
IS01,11,S059
IS01,12,S093
IS01,13,S035
IS01,14,S125
IS01,15,S140
IS01,16,S110
IS01,17,S200
IS01,18,S023
IS01,19,S015
IS01,20,S128
IS01,21,S033
IS01,22,S040
IS01,23,S005
IS01,24,S173
IS01,25,S072
IS01,26,S052
IS01,27,S067
IS01,28,S050
IS01,29,S198
IS01,30,S016
IS01,31,S060
IS02,1,S077
IS02,2,S111
IS02,3,S086
IS02,4,S185
IS02,5,S171
IS02,6,S159
IS02,7,S035
IS02,8,S023
IS02,9,S015
IS02,10,S128
IS02,11,S033
IS02,12,S040
IS02,13,S173
IS02,14,S052
IS02,15,S167
IS02,16,S170
IS02,17,S169
IS02,18,S044
IS02,19,S191
IS02,20,S168
IS03,1,S131
IS03,2,S111
IS03,3,S086
IS03,4,S121
IS03,5,S079
IS03,6,S185
IS03,7,S171
IS03,8,S159
IS03,9,S059
IS03,10,S093
IS03,11,S076
IS03,12,S007
IS03,13,S028
IS03,14,S002
IS03,15,S141
IS03,16,S022
IS03,17,S094
IS03,18,S156
IS03,19,S054
IS03,20,S149
IS03,21,S012
IS03,22,S024
IS03,23,S194
IS03,24,S049
IS03,25,S048
IS03,26,S142
IS03,27,S047
IS04,1,S131
IS04,2,S111
IS04,3,S102
IS04,4,S086
IS04,5,S079
IS04,6,S185
IS04,7,S083
IS04,8,S171
IS04,9,S159
IS04,10,S093
IS04,11,S076
IS04,12,S007
IS04,13,S028
IS04,14,S002
IS04,15,S141
IS04,16,S022
IS04,17,S094
IS04,18,S156
IS04,19,S054
IS04,20,S149
IS04,21,S020
IS04,22,S011
IS05,1,S131
IS05,2,S111
IS05,3,S086
IS05,4,S079
IS05,5,S185
IS05,6,S171
IS05,7,S159
IS05,8,S093
IS05,9,S076
IS05,10,S007
IS05,11,S028
IS05,12,S002
IS05,13,S141
IS05,14,S068
IS05,15,S154
IS05,16,S147
IS05,17,S123
IS05,18,S026
IS05,19,S009
IS05,20,S014
IS05,21,S087
IS05,22,S108
IS05,23,S107
