pattern_id,group_name,pattern_name,route_text,train_type
MG01,충북선,충북선(동대구-영주),동대구-영주,무궁화호
MG03,경부선,경부선(서울-부산),서울-부산,무궁화호
MG04,장항선,장항선,용산-익산 (장항 경유),무궁화호
MG05,전라선,전라선,용산-여수엑스포,무궁화호
MG06,호남선,호남선(용산-광주),용산-광주,무궁화호
MG07,호남선,호남선(용산-목포),용산-목포,무궁화호
MG08,호남선,호남선(광주-목포),광주-목포,무궁화호
MG09,중앙선,중앙선,청량리-영주,무궁화호
MG10,태백선,태백선,(중앙선 연결)-동해,무궁화호
MG11,영동선,영동선,동대구-동해,무궁화호
MG12,동해선,동해선(동대구-부전),동대구-부전,무궁화호
MG13,대구선,대구선(동대구-포항),동대구-포항,무궁화호
MG14,동해선,동해선(부전~포항),부전-포항,무궁화호
MG15,경전선,경전선(동대구-진주),동대구-진주,무궁화호
MG16,경전선,경전선(부전-목포),부전-목포 (목포보성선 경유),무궁화호
MG17,경전선,경전선(순천-광주송정),순천-광주송정,무궁화호
MG18,경북선,경북선,김천-영주,무궁화호
MG19,교외선,교외선,대곡-의정부,무궁화호
MG20,충북선,충북선(서울-영주),"서울-영주 (오송까지 경부선, 이후 동대구계통과 동일)",무궁화호
