pattern_id,stop_order,station_id
MG01,1,S040
MG01,2,S033
MG01,3,S090
MG01,4,S128
MG01,5,S103
MG01,6,S015
MG01,7,S023
MG01,8,S200
MG01,9,S110
MG01,10,S001
MG01,11,S096
MG01,12,S140
MG01,13,S125
MG01,14,S035
MG01,15,S093
MG01,16,S059
MG01,17,S159
MG01,18,S122
MG01,19,S177
MG01,20,S120
MG01,21,S178
MG01,22,S162
MG01,23,S136
MG01,24,S160
MG01,25,S181
MG01,26,S070
MG01,27,S057
MG01,28,S157
MG01,29,S031
MG01,30,S187
MG01,31,S114
MG03,1,S077
MG03,2,S111
MG03,3,S102
MG03,4,S086
MG03,5,S121
MG03,6,S079
MG03,7,S185
MG03,8,S083
MG03,9,S171
MG03,10,S153
MG03,11,S159
MG03,12,S059
MG03,13,S093
MG03,14,S035
MG03,15,S125
MG03,16,S140
MG03,17,S163
MG03,18,S096
MG03,19,S110
MG03,20,S200
MG03,21,S179
MG03,22,S023
MG03,23,S015
MG03,24,S103
MG03,25,S128
MG03,26,S090
MG03,27,S033
MG03,28,S040
MG03,29,S005
MG03,30,S025
MG03,31,S173
MG03,32,S072
MG03,33,S052
MG03,34,S067
MG03,35,S133
MG03,36,S050
MG03,37,S198
MG03,38,S016
MG03,39,S066
MG03,40,S060
MG04,1,S131
MG04,2,S111
MG04,3,S102
MG04,4,S086
MG04,5,S185
MG04,6,S171
MG04,7,S098
MG04,8,S126
MG04,9,S039
MG04,10,S091
MG04,11,S118
MG04,12,S071
MG04,13,S197
MG04,14,S013
MG04,15,S176
MG04,16,S036
MG04,17,S132
MG04,18,S184
MG04,19,S080
MG04,20,S150
MG04,21,S018
MG04,22,S034
MG04,23,S141
MG05,1,S131
MG05,2,S111
MG05,3,S102
MG05,4,S086
MG05,5,S079
MG05,6,S185
MG05,7,S083
MG05,8,S171
MG05,9,S153
MG05,10,S159
MG05,11,S059
MG05,12,S093
MG05,13,S076
MG05,14,S007
MG05,15,S109
MG05,16,S028
MG05,17,S002
MG05,18,S192
MG05,19,S141
MG05,20,S068
MG05,21,S154
MG05,22,S147
MG05,23,S123
MG05,24,S026
MG05,25,S009
MG05,26,S014
MG05,27,S087
MG05,28,S108
MG05,29,S107
MG06,1,S131
MG06,2,S111
MG06,3,S102
MG06,4,S086
MG06,5,S121
MG06,6,S079
MG06,7,S185
MG06,8,S083
MG06,9,S171
MG06,10,S153
MG06,11,S159
MG06,12,S059
MG06,13,S093
MG06,14,S076
MG06,15,S007
MG06,16,S109
MG06,17,S028
MG06,18,S002
MG06,19,S192
MG06,20,S141
MG06,21,S022
MG06,22,S094
MG06,23,S156
MG06,24,S054
MG06,25,S149
MG06,26,S020
MG06,27,S011
MG07,1,S131
MG07,2,S111
MG07,3,S102
MG07,4,S086
MG07,5,S121
MG07,6,S079
MG07,7,S185
MG07,8,S083
MG07,9,S171
MG07,10,S153
MG07,11,S159
MG07,12,S059
MG07,13,S093
MG07,14,S076
MG07,15,S007
MG07,16,S109
MG07,17,S028
MG07,18,S002
MG07,19,S192
MG07,20,S141
MG07,21,S022
MG07,22,S094
MG07,23,S156
MG07,24,S054
MG07,25,S149
MG07,26,S012
MG07,27,S024
MG07,28,S030
MG07,29,S194
MG07,30,S049
MG07,31,S048
MG07,32,S142
MG07,33,S146
MG07,34,S047
MG08,1,S011
MG08,2,S020
MG08,3,S012
MG08,4,S024
MG08,5,S030
MG08,6,S194
MG08,7,S049
MG08,8,S048
MG08,9,S142
MG08,10,S146
MG08,11,S047
MG09,1,S174
MG09,2,S037
MG09,3,S106
MG09,4,S130
MG09,5,S164
MG09,6,S081
MG09,7,S143
MG09,8,S045
MG09,9,S104
MG09,10,S069
MG09,11,S078
MG09,12,S135
MG09,13,S057
MG09,14,S157
MG09,15,S031
MG09,16,S187
MG09,17,S114
MG10,1,S174
MG10,2,S037
MG10,3,S106
MG10,4,S130
MG10,5,S164
MG10,6,S081
MG10,7,S143
MG10,8,S045
MG10,9,S104
MG10,10,S069
MG10,11,S078
MG10,12,S135
MG10,13,S057
MG10,14,S157
MG10,15,S097
MG10,16,S113
MG10,17,S117
MG10,18,S051
MG10,19,S065
MG10,20,S008
MG10,21,S182
MG10,22,S041
MG10,23,S038
MG10,24,S089
MG10,25,S042
MG11,1,S040
MG11,2,S189
MG11,3,S019
MG11,4,S137
MG11,5,S101
MG11,6,S114
MG11,7,S058
MG11,8,S180
MG11,9,S145
MG11,10,S196
MG11,11,S064
MG11,12,S105
MG11,13,S088
MG11,14,S082
MG11,15,S172
MG11,16,S041
MG11,17,S038
MG11,18,S089
MG11,19,S042
MG12,1,S040
MG12,2,S189
MG12,3,S115
MG12,4,S006
MG12,5,S062
MG12,6,S183
MG12,7,S027
MG12,8,S021
MG12,9,S095
MG12,10,S084
MG12,11,S061
MG13,1,S040
MG13,2,S189
MG13,3,S115
MG13,4,S099
MG13,5,S074
MG13,6,S100
MG13,7,S186
MG14,1,S061
MG14,2,S084
MG14,3,S095
MG14,4,S021
MG14,5,S027
MG14,6,S183
MG14,7,S062
MG14,8,S006
MG14,9,S074
MG14,10,S100
MG14,11,S186
MG15,1,S040
MG15,2,S005
MG15,3,S025
MG15,4,S173
MG15,5,S072
MG15,6,S052
MG15,7,S190
MG15,8,S167
MG15,9,S165
MG15,10,S170
MG15,11,S169
MG15,12,S044
MG15,13,S161
MG15,14,S191
MG15,15,S017
MG15,16,S053
MG15,17,S168
MG16,1,S061
MG16,2,S066
MG16,3,S016
MG16,4,S198
MG16,5,S050
MG16,6,S133
MG16,7,S067
MG16,8,S190
MG16,9,S167
MG16,10,S165
MG16,11,S170
MG16,12,S169
MG16,13,S044
MG16,14,S161
MG16,15,S191
MG16,16,S017
MG16,17,S053
MG16,18,S168
MG16,19,S127
MG16,20,S063
MG16,21,S201
MG16,22,S188
MG16,23,S166
MG16,24,S010
MG16,25,S087
MG16,26,S055
MG16,27,S158
MG16,28,S116
MG16,29,S043
MG16,30,S092
MG16,31,S148
MG16,32,S152
MG16,33,S003
MG16,34,S195
MG16,35,S112
MG16,36,S146
MG16,37,S047
MG17,1,S087
MG17,2,S055
MG17,3,S158
MG17,4,S116
MG17,5,S043
MG17,6,S056
MG17,7,S046
MG17,8,S139
MG17,9,S029
MG17,10,S199
MG17,11,S202
MG17,12,S075
MG17,13,S012
MG18,1,S023
MG18,2,S124
MG18,3,S175
MG18,4,S073
MG18,5,S193
MG18,6,S155
MG18,7,S129
MG18,8,S004
MG18,9,S119
MG18,10,S114
MG19,1,S032
MG19,2,S134
MG19,3,S144
MG19,4,S151
MG19,5,S085
MG19,6,S138
MG20,1,S077
MG20,2,S111
MG20,3,S102
MG20,4,S086
MG20,5,S121
MG20,6,S079
MG20,7,S185
MG20,8,S083
MG20,9,S171
MG20,10,S153
MG20,11,S122
MG20,12,S177
MG20,13,S120
MG20,14,S178
MG20,15,S162
MG20,16,S136
MG20,17,S160
MG20,18,S181
MG20,19,S070
MG20,20,S057
MG20,21,S157
MG20,22,S031
MG20,23,S187
MG20,24,S114
