station_id,station_name
S001,각계
S002,강경
S003,강진
S004,개포
S005,경산
S006,경주
S007,계룡
S008,고한
S009,곡성
S010,광양
S011,광주
S012,광주송정
S013,광천
S014,구례구
S015,구미
S016,구포
S017,군북
S018,군산
S019,군위
S020,극락강
S021,기장
S022,김제
S023,김천
S024,나주
S025,남성현
S026,남원
S027,남창
S028,논산
S029,능주
S030,다시
S031,단양
S032,대곡
S033,대구
S034,대야
S035,대전
S036,대천
S037,덕소
S038,도계
S039,도고온천
S040,동대구
S041,동백산
S042,동해
S043,득량
S044,마산
S045,매곡
S046,명봉
S047,목포
S048,몽탄
S049,무안
S050,물금
S051,민둥산
S052,밀양
S053,반성
S054,백양사
S055,벌교
S056,보성
S057,봉양
S058,봉화
S059,부강
S060,부산
S061,부전
S062,북울산
S063,북천
S064,분천
S065,사북
S066,사상
S067,삼랑진
S068,삼례
S069,삼산
S070,삼탄
S071,삽교
S072,상동
S073,상주
S074,서경주
S075,서광주
S076,서대전
S077,서울
S078,서원주
S079,서정리
S080,서천
S081,석불
S082,석포
S083,성환
S084,센텀
S085,송추
S086,수원
S087,순천
S088,승부
S089,신기
S090,신동
S091,신례원
S092,신보성
S093,신탄진
S094,신태인
S095,신해운대
S096,심천
S097,쌍룡
S098,아산
S099,아화
S100,안강
S101,안동
S102,안양
S103,약목
S104,양동
S105,양원
S106,양평
S107,여수엑스포
S108,여천
S109,연산
S110,영동
S111,영등포
S112,영암
S113,영월
S114,영주
S115,영천
S116,예당
S117,예미
S118,예산
S119,예천
S120,오근장
S121,오산
S122,오송
S123,오수
S124,옥산
S125,옥천
S126,온양온천
S127,완사
S128,왜관
S129,용궁
S130,용문
S131,용산
S132,웅천
S133,원동
S134,원릉
S135,원주
S136,음성
S137,의성
S138,의정부
S139,이양
S140,이원
S141,익산
S142,일로
S143,일신
S144,일영
S145,임기
S146,임성리
S147,임실
S148,장동
S149,장성
S150,장항
S151,장흥
S152,전남장흥
S153,전의
S154,전주
S155,점촌
S156,정읍
S157,제천
S158,조성
S159,조치원
S160,주덕
S161,중리
S162,증평
S163,지탄
S164,지평
S165,진례
S166,진상
S167,진영
S168,진주
S169,창원
S170,창원중앙
S171,천안
S172,철암
S173,청도
S174,청량리
S175,청리
S176,청소
S177,청주
S178,청주공항
S179,추풍령
S180,춘양
S181,충주
S182,태백
S183,태화강
S184,판교
S185,평택
S186,포항
S187,풍기
S188,하동
S189,하양
S190,한림정
S191,함안
S192,함열
S193,함창
S194,함평
S195,해남
S196,현동
S197,홍성
S198,화명
S199,화순
S200,황간
S201,횡천
S202,효천
