scope_code,operator_code,line_code,line_name,color_hex,text_color_hex,source_name,source_url,source_revision,verified_at,notes
SEOUL_METRO,SM,SM-1,수도권 전철 1호선,#0052A4,#FFFFFF,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-2,서울 지하철 2호선,#00A84D,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-3,수도권 전철 3호선,#EF7C1C,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-4,수도권 전철 4호선,#00A5DE,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-5,수도권 전철 5호선,#996CAC,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-6,서울 지하철 6호선,#CD7C2F,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-7,서울 지하철 7호선,#747F00,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,SM,SM-8,수도권 전철 8호선,#E6186C,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,S9,S9-9,서울 지하철 9호선,#BDB092,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,KR,KR-GYEONGUI-JUNGANG,수도권 전철 경의·중앙선,#77C4A3,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,KR,KR-SUIN-BUNDANG,수도권 전철 수인·분당선,#F5A200,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,KR,KR-GYEONGGANG,수도권 전철 경강선,#003DA5,#FFFFFF,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,원 문서 값은 경강선·동해선 광역전철·대경선 공용색. 이 중 수도권 경강선만 사용.
SEOUL_METRO,KR,KR-GYEONGCHUN,수도권 전철 경춘선,#0C8E72,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
SEOUL_METRO,IM,IM-1,인천 도시철도 1호선,#7CA8D5,#000000,위키백과 - 틀:한국 철도 노선색,https://ko.wikipedia.org/wiki/틀:한국_철도_노선색,oldid-41271877,2026-09-07,
